[ 2026-08-10 11:34:19,579 ] 20 root - INFO - Initiate the data ingestion
[ 2026-08-10 11:34:24,613 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-08-10 11:34:24,613 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-08-10 11:34:24,614 ] 75 root - INFO - Exporting train and test file path.
[ 2026-08-10 11:34:24,670 ] 84 root - INFO - Exported train and test file path.
[ 2026-08-10 11:34:24,670 ] 22 root - INFO - Data Initiation Completed
[ 2026-08-10 11:34:24,678 ] 26 root - INFO - Initiate the data Validation
[ 2026-08-10 11:34:24,729 ] 32 root - INFO - Required number of columns:2
[ 2026-08-10 11:34:24,730 ] 33 root - INFO - Data frame has columns:31
[ 2026-08-10 11:34:24,730 ] 32 root - INFO - Required number of columns:2
[ 2026-08-10 11:34:24,730 ] 33 root - INFO - Data frame has columns:31
[ 2026-08-10 11:34:24,907 ] 28 root - INFO - data Validation Completed
[ 2026-08-10 11:34:24,907 ] 31 root - INFO - data Transformation started
[ 2026-08-10 11:34:24,907 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-08-10 11:34:24,907 ] 65 root - INFO - Starting data transformation
[ 2026-08-10 11:34:24,951 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-08-10 11:34:24,951 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-08-10 11:34:24,969 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-08-10 11:34:24,979 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-08-10 11:34:24,980 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-08-10 11:34:24,983 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-08-10 11:34:24,987 ] 35 root - INFO - data Transformation completed
[ 2026-08-10 11:34:24,988 ] 37 root - INFO - Model Training sstared
