[ 2026-08-10 18:26:24,531 ] 20 root - INFO - Initiate the data ingestion
[ 2026-08-10 18:26:39,197 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-08-10 18:26:39,197 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-08-10 18:26:39,198 ] 75 root - INFO - Exporting train and test file path.
[ 2026-08-10 18:26:39,240 ] 84 root - INFO - Exported train and test file path.
[ 2026-08-10 18:26:39,240 ] 22 root - INFO - Data Initiation Completed
[ 2026-08-10 18:26:39,246 ] 26 root - INFO - Initiate the data Validation
[ 2026-08-10 18:26:39,267 ] 32 root - INFO - Required number of columns:2
[ 2026-08-10 18:26:39,267 ] 33 root - INFO - Data frame has columns:31
[ 2026-08-10 18:26:39,267 ] 32 root - INFO - Required number of columns:2
[ 2026-08-10 18:26:39,268 ] 33 root - INFO - Data frame has columns:31
[ 2026-08-10 18:26:39,378 ] 28 root - INFO - data Validation Completed
[ 2026-08-10 18:26:39,378 ] 31 root - INFO - data Transformation started
[ 2026-08-10 18:26:39,379 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-08-10 18:26:39,379 ] 65 root - INFO - Starting data transformation
[ 2026-08-10 18:26:39,400 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-08-10 18:26:39,400 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-08-10 18:26:39,421 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-08-10 18:26:39,425 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-08-10 18:26:39,425 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-08-10 18:26:39,427 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-08-10 18:26:39,429 ] 35 root - INFO - data Transformation completed
[ 2026-08-10 18:26:39,429 ] 37 root - INFO - Model Training sstared
[ 2026-08-10 18:29:58,158 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-08-10 18:29:58,159 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-08-10 18:29:58,159 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-08-10 18:29:58,208 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-08-10 18:29:58,208 ] 150 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\08_10_2026_18_26_22\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9911898734177215, precision_score=0.9884871743082205, recall_score=0.9939073923639318), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9770992366412213, precision_score=0.9681528662420382, recall_score=0.986212489862125))
[ 2026-08-10 18:29:58,211 ] 42 root - INFO - Model Training artifact created
